table_name|columns|col_count
tbl_task|id:bigint,uuid:text,split_level:integer,task_type:integer,create_dt:timestamp without time zone,update_dt:timestamp without time zone,status:integer,burn_status:smallint,task_name:text,extension_filter:text,json_path:text,slot_start:integer,slot_type:integer,task_mode:smallint,burn_mode:smallint,burn_speed:integer,verify_mode:smallint,save_hash:smallint,encrypt:text,add_csv:smallint,raid_groups:text,use_buffer:smallint,delete_files:smallint,copy_files:smallint,copy_source:smallint,copies:smallint,split_mode:smallint,prefix:text,start_num:integer,add_zero:smallint,total_files:bigint,total_size:bigint,encoding:smallint,max_disc:integer,data_source:integer,ret_value:integer,ret_msg:text,cmt:text|38
tbl_user|user_id:integer,role_id:integer,uuid:text,name:text,display_name:text,title:text,department:text,pwd:text,password_algo:integer,password_salt:text,phone:text,email:text,login_status:smallint,user_type:smallint,create_time:timestamp without time zone,update_time:timestamp without time zone,expiration_time:timestamp without time zone,create_user:text,update_user:text,root_dir:text,root_pwd:text,share_type:smallint,face_path:text,face_id:integer,finger_id:integer,login_error_times:integer,login_lock_time:timestamp without time zone|27
tbl_disc|id:integer,task_id:bigint,disc_num:integer,slot_id:integer,src_slot:integer,burn_success:integer,copy_success:integer,disc_label:text,burn_device:text,used_size:bigint,extra_size:bigint,serial_num:text,disc_progress:smallint,stage:smallint,burn_errors:smallint,burn_retry:smallint,error_files:integer,prepare_seconds:integer,ret_msg:text,ret_value:integer,iso_status:smallint,iso_path:text,create_dt:timestamp without time zone,update_dt:timestamp without time zone,verify_dt:timestamp without time zone,cmt:text|26
tbl_receipt|id:bigint,annual:text,batch:text,receive_num:text,transfer_unit:text,transferer:text,transfer_date:timestamp without time zone,receive_unit:text,receiver:text,files_count:integer,nums:integer,remark:text,status:smallint,update_dt:timestamp without time zone,create_dt:timestamp without time zone,volume_id:integer,file_path:text,ws_id:bigint,type:integer,archive_type:text,template_type:text,check_type:bigint,check_params:text,scan_task_id:bigint,import_method:integer|25
tbl_data_receive_list|id:bigint,receive_num:text,transfer_unit:text,transferor:text,transfer_date:timestamp without time zone,receive_date:timestamp without time zone,receive_unit:text,receiver:text,files_count:bigint,files_size:bigint,cmt:text,update_dt:timestamp without time zone,create_dt:timestamp without time zone,status:smallint,resource:smallint,volume_id:integer,import_method:integer,nums:integer,medium_sn:text,data_class_id:integer,local_path:text,schedule_enable:smallint,schedule_cron:text,schedule_cron_desc:text|24
tbl_hd_info|slot_id:integer,serial_num:text,name:text,model:text,asset_num:text,file_sys:text,file_path:text,create_dt:timestamp without time zone,full_check_set:integer,last_fullcheck_dt:timestamp without time zone,select_check_set:integer,last_selectcheck_dt:timestamp without time zone,power_set:integer,last_power_dt:timestamp without time zone,health:integer,last_mount_dt:timestamp without time zone,last_online_dt:timestamp without time zone,hd_status:integer,hd_online:smallint,read_only:integer,smart:text,raid_type:text,raid_vid:integer|23
tbl_evidence_details|id:bigint,uuid:text,record_id:bigint,number:bigint,file_name:text,file_size:bigint,file_path:text,file_hash:text,zip_file_id:bigint,manage_id:text,package_file_count:bigint,package_file_hash:text,prove_file_path:text,system_type:smallint,cmt:text,status:smallint,chain_status:smallint,chain_id:text,tx_hash:text,cert_status:smallint,cert_url:text,cert_hash:text|22
tbl_credible_prove|id:bigint,user_id:integer,task_id:bigint,task_item_id:bigint,zip_file_id:bigint,bus_flag:text,package_remark:text,volume_id:integer,optical_path:text,file_name:text,file_size:bigint,pack_file_count:integer,hash:text,verify_hash:text,create_date:timestamp without time zone,certify_date:text,verify_date:text,prove_uuid:text,prove_file_path:text,json_path:text,status:integer,package_volume_id:integer|22
tbl_check_patrol_task_item|id:text,task_id:text,strategy_id:text,file_id:text,check_task_id:text,annual:text,package_name:text,package_path:text,package_hash:text,package_size:bigint,template_id:text,status:text,recover:text,message:text,archive_count:integer,success_count:integer,fail_count:integer,create_time:timestamp without time zone,update_time:timestamp without time zone,start_time:timestamp without time zone,finished_time:timestamp without time zone|21
tbl_credible_verify|id:bigint,user_id:integer,credible_prove_id:bigint,zip_file_id:bigint,bus_flag:text,description:text,file_name:text,prove_hash:text,verify_hash:text,create_date:timestamp without time zone,certify_date:text,verify_date:text,verify_uuid:text,verify_status:integer,report_verify_hash:text,report_date:text,report_path:text,report_status:integer,report_verify_status:integer,json_path:text|20
tbl_zip_file|id:bigint,folder_path:text,file_name:text,file_size:bigint,hash:text,hash1:text,create_date:timestamp without time zone,verify_date:timestamp without time zone,status:smallint,format:smallint,compress:smallint,encrypt:text,task_id:bigint,file_count:bigint,archival_code:text,volume_id:integer,bus_status:smallint,prove_file_path:text,chain_id:text,data_code:text|20
tbl_disc_lib|lib_id:integer,group_id:integer,device_order:integer,device_status:integer,current_device:smallint,name:text,type:integer,disc_type:integer,ip:text,port:text,vendor:text,model:text,sn:text,mags:integer,slots:integer,slots_per_mag:integer,use_status:smallint,lib_user:text,lib_pwd:text,cmt:text|20
tbl_check_item|id:text,template_id:text,sector:text,category:text,sub_category:text,check_type:text,item_code:text,item_name:text,item_purpose:text,item_object:text,item_order:text,item_description:text,disabled:smallint,checked:smallint,handle_file:text,handle_method:text,passed:smallint,create_time:timestamp without time zone,update_time:timestamp without time zone,del_status:smallint|20
tbl_user_task|user_id:integer,task_id:bigint,machine_uuid:text,os_platform:text,os_arch:text,os_hostname:text,user_name:text,user_agent:text,customer_buildversion:text,customer_builddate:text,user_stage_acting:text,user_stage_failedcount:integer,user_stage_faileddate:timestamp without time zone,username:text,useragent:text,customerbuildversion:text,customerbuilddate:text,userstageacting:text,userstagefailedcount:integer,userstagefaileddate:timestamp without time zone|20
tbl_check_task|id:text,template_id:text,sector:text,title:text,description:text,params:text,before_file_id:text,before_file:text,before_method:text,after_file_id:text,after_file:text,after_method:text,package:text,package_md5:text,status:smallint,commit_time:timestamp without time zone,finish_time:timestamp without time zone,create_time:timestamp without time zone,update_time:timestamp without time zone,del_status:smallint|20
